time_ps,eta_A,abs_eta_A,running_mean_A,running_abs_mean_A
3.800000,1.18276310,1.18276310,1.17357065,1.17357065
3.840000,1.14773579,1.14773579,1.17330431,1.17330431
3.880000,1.15056433,1.15056433,1.17307227,1.17307227
3.920000,1.16286540,1.16286540,1.17296917,1.17296917
3.960000,1.16092625,1.16092625,1.17284874,1.17284874
4.000000,1.17393399,1.17393399,1.17285949,1.17285949
4.040000,1.15315924,1.15315924,1.17266635,1.17266635
4.080000,1.14515425,1.14515425,1.17239924,1.17239924
4.120000,1.13909461,1.13909461,1.17207900,1.17207900
4.160000,1.14110579,1.14110579,1.17178402,1.17178402
4.200000,1.13372137,1.13372137,1.17142494,1.17142494
4.240000,1.13553024,1.13553024,1.17108947,1.17108947
4.280000,1.11637205,1.11637205,1.17058283,1.17058283
4.320000,1.11218734,1.11218734,1.17004709,1.17004709
4.360000,1.13492246,1.13492246,1.16972778,1.16972778
4.400000,1.12852670,1.12852670,1.16935660,1.16935660
4.440000,1.12749020,1.12749020,1.16898279,1.16898279
4.480000,1.13793370,1.13793370,1.16870802,1.16870802
4.520000,1.12839831,1.12839831,1.16835443,1.16835443
4.560000,1.10407911,1.10407911,1.16779551,1.16779551
4.600000,1.08891219,1.08891219,1.16711548,1.16711548
4.640000,1.08924764,1.08924764,1.16644994,1.16644994
4.680000,1.08608379,1.08608379,1.16576888,1.16576888
4.720000,1.07648738,1.07648738,1.16501861,1.16501861
4.760000,1.04289444,1.04289444,1.16400091,1.16400091
4.800000,1.03261775,1.03261775,1.16291510,1.16291510
4.840000,1.02083554,1.02083554,1.16175051,1.16175051
4.880000,1.01634860,1.01634860,1.16056838,1.16056838
4.920000,1.04739799,1.04739799,1.15965572,1.15965572
4.960000,1.06502582,1.06502582,1.15889868,1.15889868
5.000000,1.09001675,1.09001675,1.15835200,1.15835200
5.040000,1.11424131,1.11424131,1.15800467,1.15800467
5.080000,1.10599355,1.10599355,1.15759833,1.15759833
5.120000,1.09791441,1.09791441,1.15713567,1.15713567
5.160000,1.09515683,1.09515683,1.15665891,1.15665891
5.200000,1.06645723,1.06645723,1.15597034,1.15597034
5.240000,1.05963138,1.05963138,1.15524050,1.15524050
5.280000,1.03952306,1.03952306,1.15437045,1.15437045
5.320000,1.03466666,1.03466666,1.15347713,1.15347713
5.360000,1.02660401,1.02660401,1.15253733,1.15253733
5.400000,1.02239475,1.02239475,1.15158040,1.15158040
5.440000,1.01189084,1.01189084,1.15056077,1.15056077
5.480000,1.00694269,1.00694269,1.14952006,1.14952006
5.520000,0.99701535,0.99701535,1.14842290,1.14842290
5.560000,0.97876699,0.97876699,1.14721108,1.14721108
5.600000,0.97958331,0.97958331,1.14602223,1.14602223
5.640000,0.97566988,0.97566988,1.14482256,1.14482256
5.680000,0.98176557,0.98176557,1.14368230,1.14368230
5.720000,1.00923866,1.00923866,1.14274867,1.14274867
5.760000,1.01631726,1.01631726,1.14187673,1.14187673
5.800000,1.03542382,1.03542382,1.14114760,1.14114760
5.840000,1.05689063,1.05689063,1.14057442,1.14057442
5.880000,1.03657552,1.03657552,1.13987172,1.13987172
5.920000,1.00055251,1.00055251,1.13893670,1.13893670
5.960000,0.99269115,0.99269115,1.13796173,1.13796173
6.000000,0.98047382,0.98047382,1.13691876,1.13691876
6.040000,0.99625434,0.99625434,1.13599334,1.13599334
6.080000,1.02701192,1.02701192,1.13528104,1.13528104
6.120000,1.05498966,1.05498966,1.13475967,1.13475967
6.160000,1.04997906,1.04997906,1.13421270,1.13421270
6.200000,1.02554543,1.02554543,1.13351611,1.13351611
6.240000,1.00543253,1.00543253,1.13270029,1.13270029
6.280000,0.99511834,0.99511834,1.13182952,1.13182952
6.320000,0.97830041,0.97830041,1.13086393,1.13086393
6.360000,0.99501369,0.99501369,1.13001486,1.13001486
6.400000,1.02320744,1.02320744,1.12935146,1.12935146
6.440000,1.02653987,1.02653987,1.12871682,1.12871682
6.480000,1.04119179,1.04119179,1.12817986,1.12817986
6.520000,1.02456303,1.02456303,1.12754805,1.12754805
6.560000,1.00933619,1.00933619,1.12683161,1.12683161
6.600000,1.01182049,1.01182049,1.12613878,1.12613878
6.640000,1.01561390,1.01561390,1.12547695,1.12547695
6.680000,0.98586295,0.98586295,1.12464592,1.12464592
6.720000,0.97064771,0.97064771,1.12373468,1.12373468
6.760000,0.95243524,0.95243524,1.12272704,1.12272704
6.800000,0.95016786,0.95016786,1.12171792,1.12171792
6.840000,0.92899551,0.92899551,1.12059744,1.12059744
6.880000,0.90128509,0.90128509,1.11932974,1.11932974
6.920000,0.89671102,0.89671102,1.11805032,1.11805032
6.960000,0.90631423,0.90631423,1.11684040,1.11684040
7.000000,0.91832016,0.91832016,1.11571245,1.11571245
7.040000,0.94417440,0.94417440,1.11474331,1.11474331
7.080000,0.94691945,0.94691945,1.11380047,1.11380047
7.120000,0.95262775,0.95262775,1.11290007,1.11290007
7.160000,0.94249169,0.94249169,1.11195336,1.11195336
7.200000,0.92413003,0.92413003,1.11091566,1.11091566
7.240000,0.90367685,0.90367685,1.10977698,1.10977698
7.280000,0.89826398,0.89826398,1.10862117,1.10862117
7.320000,0.88530921,0.88530921,1.10740752,1.10740752
7.360000,0.87704968,0.87704968,1.10616234,1.10616234
7.400000,0.86044379,0.86044379,1.10484128,1.10484128
7.440000,0.84103941,0.84103941,1.10343057,1.10343057
7.480000,0.82935653,0.82935653,1.10197273,1.10197273
7.520000,0.82951392,0.82951392,1.10053115,1.10053115
7.560000,0.82435173,0.82435173,1.09907757,1.09907757
7.600000,0.82895442,0.82895442,1.09766332,1.09766332
7.640000,0.80986421,0.80986421,1.09616436,1.09616436
7.680000,0.79461131,0.79461131,1.09460191,1.09460191
7.720000,0.78388034,0.78388034,1.09300025,1.09300025
7.760000,0.78100684,0.78100684,1.09140029,1.09140029
7.800000,0.79805335,0.79805335,1.08990362,1.08990362
7.840000,0.80237521,0.80237521,1.08844409,1.08844409
7.880000,0.81437053,0.81437053,1.08705988,1.08705988
7.920000,0.82716840,0.82716840,1.08575389,1.08575389
7.960000,0.81725190,0.81725190,1.08441138,1.08441138
8.000000,0.82129381,0.82129381,1.08310234,1.08310234
8.040000,0.82790247,0.82790247,1.08183897,1.08183897
8.080000,0.82871517,0.82871517,1.08059205,1.08059205
8.120000,0.83432862,0.83432862,1.07938488,1.07938488
8.160000,0.84605288,0.84605288,1.07824668,1.07824668
8.200000,0.86315156,0.86315156,1.07720252,1.07720252
8.240000,0.85755483,0.85755483,1.07614142,1.07614142
8.280000,0.84104652,0.84104652,1.07501116,1.07501116
8.320000,0.84349740,0.84349740,1.07390344,1.07390344
8.360000,0.83473641,0.83473641,1.07276455,1.07276455
